epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.5814,0.79601,1.40635,1.13539,0.99848,1,0.995,0.97155,0.27229,0.6914,1.02711,0.000207966,0.000207966,0.000207966
2,82.5515,0.43271,0.55996,0.97179,0.99765,1,0.995,0.98033,0.2157,0.25805,1.00999,0.000395692,0.000395692,0.000395692
3,120.003,0.38391,0.50128,0.95057,0.99901,1,0.995,0.97845,0.18478,0.16433,0.99425,0.000562794,0.000562794,0.000562794
4,156.991,0.35167,0.4594,0.93504,0.99885,1,0.995,0.99351,0.17181,0.14926,0.98669,0.000532187,0.000532187,0.000532187
5,193.567,0.32352,0.43013,0.92693,0.99857,1,0.995,0.98916,0.15198,0.15373,0.9828,0.00050125,0.00050125,0.00050125
6,230.753,0.30196,0.40771,0.92145,0.9988,1,0.995,0.99463,0.15856,0.21168,0.97555,0.000470312,0.000470312,0.000470312
7,267.758,0.28103,0.38762,0.91666,0.99882,1,0.995,0.99067,0.14804,0.1466,0.97808,0.000439375,0.000439375,0.000439375
8,304.346,0.27059,0.37862,0.91389,0.99904,1,0.995,0.99452,0.13313,0.15,0.9735,0.000408438,0.000408438,0.000408438
9,341.879,0.25164,0.3574,0.91201,0.9991,1,0.995,0.99206,0.12611,0.13911,0.97246,0.0003775,0.0003775,0.0003775
10,378.469,0.24626,0.34958,0.90965,0.9991,1,0.995,0.99431,0.1227,0.13103,0.96891,0.000346563,0.000346563,0.000346563
11,432.882,0.10982,0.10402,0.89293,0.99924,1,0.995,0.995,0.08004,0.07473,0.96268,0.000315625,0.000315625,0.000315625
12,469.188,0.09246,0.08558,0.88965,0.9992,1,0.995,0.995,0.08163,0.08263,0.96077,0.000284688,0.000284688,0.000284688
13,505.8,0.08119,0.07603,0.88813,0.99932,1,0.995,0.995,0.06252,0.06361,0.96022,0.00025375,0.00025375,0.00025375
14,541.079,0.07412,0.07005,0.89075,0.99943,1,0.995,0.995,0.10014,0.07511,0.96141,0.000222813,0.000222813,0.000222813
15,576.492,0.06926,0.06473,0.88996,0.99929,1,0.995,0.995,0.06927,0.06856,0.95918,0.000191875,0.000191875,0.000191875
16,612.623,0.0648,0.06278,0.8884,0.99967,1,0.995,0.995,0.08415,0.06947,0.95993,0.000160938,0.000160938,0.000160938
17,648.284,0.05777,0.05846,0.88781,0.99953,1,0.995,0.995,0.08066,0.06252,0.95913,0.00013,0.00013,0.00013
18,685.281,0.05443,0.05379,0.8842,0.99934,1,0.995,0.995,0.07551,0.0606,0.95872,9.90625e-05,9.90625e-05,9.90625e-05
19,721.988,0.04787,0.04805,0.88957,0.99954,1,0.995,0.995,0.0615,0.06121,0.95813,6.8125e-05,6.8125e-05,6.8125e-05
20,759.872,0.04336,0.04474,0.8861,0.99971,1,0.995,0.995,0.0631,0.06287,0.95767,3.71875e-05,3.71875e-05,3.71875e-05
