epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.4001,0.78818,1.49967,1.13865,0.99867,1,0.995,0.96899,0.25968,0.48222,1.02345,0.000207721,0.000207721,0.000207721
2,62.4803,0.39376,0.53089,0.96492,0.9976,1,0.995,0.97527,0.22336,1.20138,1.01167,0.000395459,0.000395459,0.000395459
3,89.6524,0.35214,0.47432,0.94287,0.99458,1,0.995,0.97827,0.22794,0.50119,1.00273,0.000562573,0.000562573,0.000562573
4,116.59,0.32615,0.44065,0.92993,0.99899,1,0.995,0.99328,0.18983,1.05107,0.98343,0.000532187,0.000532187,0.000532187
5,143.646,0.29981,0.40762,0.92144,0.9988,1,0.995,0.9874,0.18755,0.67712,0.98423,0.00050125,0.00050125,0.00050125
6,170.36,0.27859,0.3854,0.91537,0.99882,1,0.995,0.98844,0.15918,0.55714,0.98175,0.000470312,0.000470312,0.000470312
7,196.785,0.26365,0.36783,0.913,0.99879,1,0.995,0.98835,0.15855,0.84019,0.97751,0.000439375,0.000439375,0.000439375
8,224.099,0.25197,0.35626,0.91074,0.99907,1,0.995,0.98826,0.163,0.83979,0.97587,0.000408438,0.000408438,0.000408438
9,251.817,0.23623,0.3477,0.90654,0.99907,1,0.995,0.99433,0.11481,0.92246,0.96853,0.0003775,0.0003775,0.0003775
10,279.609,0.22604,0.33052,0.90736,0.99886,1,0.995,0.99398,0.10386,0.90679,0.96846,0.000346563,0.000346563,0.000346563
11,331.564,0.10411,0.10167,0.8925,0.99929,1,0.995,0.99456,0.0811,0.09802,0.96177,0.000315625,0.000315625,0.000315625
12,358.482,0.08979,0.08043,0.88953,0.99932,1,0.995,0.995,0.0741,0.08291,0.96136,0.000284688,0.000284688,0.000284688
13,385.091,0.08029,0.0766,0.88941,0.99944,1,0.995,0.995,0.07284,0.07049,0.9602,0.00025375,0.00025375,0.00025375
14,411.87,0.07325,0.06886,0.88597,0.99939,1,0.995,0.995,0.06977,0.07452,0.95915,0.000222813,0.000222813,0.000222813
15,438.972,0.06773,0.06347,0.88737,0.99942,1,0.995,0.995,0.06703,0.06599,0.95969,0.000191875,0.000191875,0.000191875
16,466.27,0.06435,0.06066,0.88601,0.99951,1,0.995,0.995,0.05304,0.06035,0.95831,0.000160938,0.000160938,0.000160938
17,493.183,0.05689,0.05518,0.88457,0.99944,1,0.995,0.995,0.06558,0.06071,0.95808,0.00013,0.00013,0.00013
18,521.02,0.05304,0.05129,0.88557,0.99961,1,0.995,0.995,0.06226,0.0614,0.95806,9.90625e-05,9.90625e-05,9.90625e-05
19,548.957,0.04792,0.0475,0.88691,0.99943,1,0.995,0.995,0.07187,0.06567,0.95796,6.8125e-05,6.8125e-05,6.8125e-05
20,575.795,0.04356,0.04378,0.88471,0.99974,1,0.995,0.995,0.05906,0.0629,0.9573,3.71875e-05,3.71875e-05,3.71875e-05
