epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.97115,0.44688,0.78039,0.89976,0.80262,0.80723,0.83752,0.71001,0.72096,0.77101,1.10755,0.000655172,0.000655172,0.000655172
2,19.4449,0.35138,0.36065,0.84847,0.02214,0.49398,0.01707,0.00985,1.2304,334.051,5.70891,0.00125641,0.00125641,0.00125641
3,28.2009,0.33957,0.336,0.84613,0.22863,0.75904,0.21043,0.17928,0.54976,5.58111,0.9948,0.00179164,0.00179164,0.00179164
4,36.9743,0.30614,0.2991,0.83652,0.99827,1,0.995,0.95955,0.25883,0.36199,0.81767,0.001703,0.001703,0.001703
5,45.7093,0.29067,0.28454,0.83259,0.98279,1,0.995,0.98108,0.24733,0.26711,0.81383,0.001604,0.001604,0.001604
6,55.0713,0.25722,0.25297,0.82599,0.99896,1,0.995,0.995,0.19798,0.17299,0.7975,0.001505,0.001505,0.001505
7,63.8273,0.23731,0.2441,0.8288,0.99932,1,0.995,0.995,0.16066,0.14707,0.79458,0.001406,0.001406,0.001406
8,72.6938,0.22218,0.23059,0.82127,0.99931,1,0.995,0.995,0.16703,0.14981,0.79456,0.001307,0.001307,0.001307
9,81.4578,0.2157,0.21514,0.82248,0.99932,1,0.995,0.995,0.17521,0.16034,0.79574,0.001208,0.001208,0.001208
10,90.2158,0.20016,0.20293,0.81733,0.99935,1,0.995,0.995,0.13424,0.13988,0.79222,0.001109,0.001109,0.001109
11,117.997,0.16766,0.16371,0.78772,0.99934,1,0.995,0.99369,0.15896,0.16239,0.79639,0.00101,0.00101,0.00101
12,126.779,0.16813,0.16394,0.78703,0.99928,1,0.995,0.995,0.14485,0.1309,0.79115,0.000911,0.000911,0.000911
13,135.556,0.15912,0.15542,0.79178,0.99935,1,0.995,0.995,0.11205,0.11871,0.78831,0.000812,0.000812,0.000812
14,144.241,0.14266,0.14724,0.79337,0.99935,1,0.995,0.995,0.12065,0.12183,0.78836,0.000713,0.000713,0.000713
15,153.03,0.13432,0.13545,0.7795,0.99934,1,0.995,0.995,0.102,0.10534,0.78623,0.000614,0.000614,0.000614
16,161.783,0.12782,0.12487,0.77541,0.99934,1,0.995,0.995,0.09617,0.1011,0.78688,0.000515,0.000515,0.000515
17,170.478,0.11794,0.12434,0.7808,0.99873,1,0.995,0.995,0.09674,0.09928,0.78607,0.000416,0.000416,0.000416
18,179.206,0.10835,0.10671,0.77622,0.99936,1,0.995,0.995,0.09189,0.08823,0.78544,0.000317,0.000317,0.000317
19,187.968,0.09937,0.09812,0.77561,0.99937,1,0.995,0.995,0.06694,0.07124,0.78408,0.000218,0.000218,0.000218
20,196.786,0.09064,0.08958,0.77444,0.99925,1,0.995,0.995,0.05758,0.0595,0.7836,0.000119,0.000119,0.000119
